File1	File2	Max_CC_Value	TimeLag(s)
240825.000000.000559.EHZ_processed.sac	240825.000000.001030.EHZ_processed.sac	0.000248	50.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001031.EHZ_processed.sac	0.000191	21.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001032.EHZ_processed.sac	0.000190	-76.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001033.EHZ_processed.sac	0.000218	-1778.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001036.EHZ_processed.sac	0.000183	-375.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001038.EHZ_processed.sac	0.035543	257.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001039.EHZ_processed.sac	0.000297	-384.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001040.EHZ_processed.sac	0.000169	-188.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001041.EHZ_processed.sac	0.000146	-120.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001043.EHZ_processed.sac	0.000108	7.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001044.EHZ_processed.sac	0.000152	-59.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001045.EHZ_processed.sac	0.000166	32.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001047.EHZ_processed.sac	0.000240	-345.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001048.EHZ_processed.sac	0.000191	-380.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001049.EHZ_processed.sac	0.000224	144.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001051.EHZ_processed.sac	0.000900	-515.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001053.EHZ_processed.sac	0.000178	62.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001055.EHZ_processed.sac	0.000117	-33.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001056.EHZ_processed.sac	0.000202	-372.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001058.EHZ_processed.sac	0.000327	-83.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001059.EHZ_processed.sac	0.000102	-371.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001812.EHZ_processed.sac	0.000019	239.000000
240825.000000.000559.EHZ_processed.sac	240825.000000.001827.EHZ_processed.sac	0.000028	238.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001031.EHZ_processed.sac	0.000130	-28.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001032.EHZ_processed.sac	0.000115	-125.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001033.EHZ_processed.sac	0.000142	-1583.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001036.EHZ_processed.sac	0.000117	-424.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001038.EHZ_processed.sac	0.023282	209.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001039.EHZ_processed.sac	0.000190	-433.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001040.EHZ_processed.sac	0.000108	-237.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001041.EHZ_processed.sac	0.000096	74.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001043.EHZ_processed.sac	0.000072	-42.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001044.EHZ_processed.sac	0.000110	-108.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001045.EHZ_processed.sac	0.000104	-16.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001047.EHZ_processed.sac	0.000161	-394.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001048.EHZ_processed.sac	0.000126	-429.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001049.EHZ_processed.sac	0.000146	95.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001051.EHZ_processed.sac	0.000590	-564.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001053.EHZ_processed.sac	0.000118	14.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001055.EHZ_processed.sac	0.000073	-321.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001056.EHZ_processed.sac	0.000129	-422.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001058.EHZ_processed.sac	0.000204	-131.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001059.EHZ_processed.sac	0.000074	-178.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001812.EHZ_processed.sac	0.000012	190.000000
240825.000000.001030.EHZ_processed.sac	240825.000000.001827.EHZ_processed.sac	0.000019	189.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001032.EHZ_processed.sac	0.000105	-95.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001033.EHZ_processed.sac	0.000119	-354.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001036.EHZ_processed.sac	0.000098	-394.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001038.EHZ_processed.sac	0.025910	0.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001039.EHZ_processed.sac	0.000153	-161.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001040.EHZ_processed.sac	0.000103	33.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001041.EHZ_processed.sac	0.000083	103.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001043.EHZ_processed.sac	0.000057	230.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001044.EHZ_processed.sac	0.000087	-78.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001045.EHZ_processed.sac	0.000095	14.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001047.EHZ_processed.sac	0.000124	-365.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001048.EHZ_processed.sac	0.000100	-399.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001049.EHZ_processed.sac	0.000118	125.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001051.EHZ_processed.sac	0.000497	-534.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001053.EHZ_processed.sac	0.000109	44.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001055.EHZ_processed.sac	0.000071	-291.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001056.EHZ_processed.sac	0.000107	-150.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001058.EHZ_processed.sac	0.000184	-101.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001059.EHZ_processed.sac	0.000066	-148.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001812.EHZ_processed.sac	0.000010	-20.000000
240825.000000.001031.EHZ_processed.sac	240825.000000.001827.EHZ_processed.sac	0.000015	-19.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001033.EHZ_processed.sac	0.000115	-1699.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001036.EHZ_processed.sac	0.000092	-540.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001038.EHZ_processed.sac	0.023443	94.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001039.EHZ_processed.sac	0.000153	-307.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001040.EHZ_processed.sac	0.000104	127.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001041.EHZ_processed.sac	0.000075	-43.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001043.EHZ_processed.sac	0.000054	84.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001044.EHZ_processed.sac	0.000078	18.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001045.EHZ_processed.sac	0.000095	109.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001047.EHZ_processed.sac	0.000112	-269.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001048.EHZ_processed.sac	0.000097	-303.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001049.EHZ_processed.sac	0.000115	221.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001051.EHZ_processed.sac	0.000491	-438.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001053.EHZ_processed.sac	0.000107	-341.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001055.EHZ_processed.sac	0.000078	-196.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001056.EHZ_processed.sac	0.000106	-296.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001058.EHZ_processed.sac	0.000195	-6.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001059.EHZ_processed.sac	0.000060	-54.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001812.EHZ_processed.sac	0.000010	77.000000
240825.000000.001032.EHZ_processed.sac	240825.000000.001827.EHZ_processed.sac	0.000016	73.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001036.EHZ_processed.sac	0.000216	-282.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001038.EHZ_processed.sac	0.022953	311.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001039.EHZ_processed.sac	0.000193	-48.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001040.EHZ_processed.sac	0.000133	-94.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001041.EHZ_processed.sac	0.000080	457.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001043.EHZ_processed.sac	0.000059	583.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001044.EHZ_processed.sac	0.000102	277.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001045.EHZ_processed.sac	0.000125	369.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001047.EHZ_processed.sac	0.000144	1190.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001048.EHZ_processed.sac	0.000125	-44.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001049.EHZ_processed.sac	0.000132	1.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001051.EHZ_processed.sac	0.000633	61.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001053.EHZ_processed.sac	0.000137	158.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001055.EHZ_processed.sac	0.000091	64.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001056.EHZ_processed.sac	0.000119	-37.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001058.EHZ_processed.sac	0.000279	-227.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001059.EHZ_processed.sac	0.000078	206.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001812.EHZ_processed.sac	0.000015	49.000000
240825.000000.001033.EHZ_processed.sac	240825.000000.001827.EHZ_processed.sac	0.000030	335.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001038.EHZ_processed.sac	0.021893	392.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001039.EHZ_processed.sac	0.000153	-8.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001040.EHZ_processed.sac	0.000108	-53.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001041.EHZ_processed.sac	0.000069	498.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001043.EHZ_processed.sac	0.000048	383.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001044.EHZ_processed.sac	0.000069	318.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001045.EHZ_processed.sac	0.000097	409.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001047.EHZ_processed.sac	0.000119	31.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001048.EHZ_processed.sac	0.000095	-3.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001049.EHZ_processed.sac	0.000104	-439.000000
240825.000000.001036.EHZ_processed.sac	240825.000000.001051.EHZ_processed.sac	0.000503	-138.000000
